Omega2 4G LTE Bomlist,,,,,
,,,,,
Item,Reference,Qty,Part,Note,
1,"C1,C17,C19",1,10uF/0603/10V,C0603,
2,C2,1,1uF/0402,C0402,
3,"C3,C10,C13,C15",3,22uF,C0805,
4,C4,1,10uF,C0805,
5,"C7,C11,C14,C21,C29,C30,C31，C12,C16",7,0.1uF,C0402,
6,"C9,C23,C24",3,4.7uF,C0402,
7,"C18,C20",2,2.2uF,C0402,
8,C27,1,30pF,C0402,
9,C28,1,4.7uF/0603,C0603,
10,"D1,D2",2,IN5819,SOD-123,
11,"D3,D4,D5,D13,D14,D15,D16",7,ESD5B5.0S,SOD-523,
12,LED1,1,LED(Blue),LED-0603,
13,LED2,1,LED(Yellow),LED-0603,
14,LED4,1,LED(Green),LED-0603,
15,DF1,1,LED(Yellow),LED-0603,
16,DF2,1,LED(Green),LED-0603,
17,L3,1,2.2uH Inductor 2520 2A，WPN252010F2R2MT ,IND 2520,
,L1,1,2.2uH Inductor 2520 2A，WPN252010F2R2MT ,IND 2520,
18,L2,1,3.3uH ,CD43,
19,L19,1,47nH,L0603,
20,Q1,1,8550,SOT23,
21,Q2,1,AO3400 ,SOT23-2,
22,Q3,1,A03401,SOT23,
23,"Q4,Q5",2,2N3904,SOT23,
24,"R2,R12,R32,R34,R40,R42,R56,R57",8,4.7K,R0402,
25,"R4,R20,R35,R43,R48,R49,R50,R51,R52",9,0R,R0402,
26,"R5,R8,R16,R18,R21,R22,R23,R29,R33",9,10K,R0402,
27,"R6,R30,R31",3,3K,R0402,
28,"R9,R1,R47",3,5K1,R0402,
29,R10,1,450K 1%,R0402,
30,R11,1,82K 1%,R0402,
31,R13,1,450K1%,R0402,
32,R14,1,100K1%,R0402,
33,R15,1,110K,R0402,
34,R17,1,15K,R0402,
35,R19,1,18K,R0402,
36,"R24,R26,R28",3,1K,R0402,
37,R25,1,1K2,R0402,
38,R27,1,33R,R0402,
39,"R36,R41",2,2.2K,R0402,
40,R37,1,10R,R0402,
41,"R44,R45,R46",3,22R,R0402,
42,R54,1,2M,R0402,
43,R55,1,8.2M,R0402,
44,ANT1,1,RFANT3216120A5T antenna,R1206,
45,"C5,C6",2,220uF/6.3V  6.3*5.4 Capacitor,CAP-D6.3XH7.7,
46,BAT1,1,2.0mm SMT battery connector,BAT1,
47,"CON1,CON2,CON3",3,IPEX antenna socket,CON3-RF,
48,SW1,1,SWITCO T02-2402-35-160,Button,
49,SW3,1,SWITCO SO3-12D22-G2,POWER_Switch,
50,J1,1,Omega2SP,Onion,
51,J2,1,KONSON Female 2.54*7.1 2*15P SMT,CON15X2,
52,J3,1,TYPE-C-USB-16PIN,www.so-han.com,
53,J4,1,Molex 5033981892,Molex 5033981892,
54,J5,1,SIM_CARD,SIM,
55,U1,1,SGM6014-ADJ,DFN3X3-10,
56,U2,1,EC25AF,EC25AF (North American),
,,,EC25G,EC25G (Global),
57,U3,1,AP3417C_SOT23-5,LP3220_SOT23-5,
58,U4,1,FP6291,SOT23-6,
59,U5,1,TP4056 1A ,SOP8,
60,U6,1,CP2104,QFN24,
61,U10,1,MCP3021A5T,MCP3021A5T,
62,PCB,1,PCB,Custom PCB,
,,,,,
NC,,,,,
10,"C8,C22,C25,C26",4,NC/30pF,C0402,
39,"R3,R38,R39",3,NC/0R,R0402,
43,R7,1,NC/3K,R0402,
